input_text,target_text
"summarize: My daughter is 7 months old, and we started baby food right before 6 months. She has never been a fan of most green things (spring veggie mixes, green beans, etc) even though we keep trying them. But she likes this! It tastes more like pear sauce than anything (I tried it).<br /><br />It's also nicely portable. My little one is too young to squeeze it right into her mouth, but I can carefully squeeze some onto a spoon if we're out (if I'm home, I usually just squeeze it into a bowl). I also reseals well (the cap screws back on) and is easily tossed back into the diaper back if it's not finished. I would definitely buy this again and in other flavors.","portable, liked by a kid who doesn't like green things"
"summarize: I starter drinking Milo since I was two years old. It is the first energy drink for kids here in the Philippines. I recall enjoying drinking it even without milk or just eating it raw without hot or cold water when I was a toddler and can't help but love its taste even now that I am an adult.<br /><br />I was very happy to know that in Malaysia they have learned to mix it with Nescafe because it is also a habit of mine, and a few Filipinos. We call it the cheaper version of Starbucks coffee! :)<br /><br />Anyway, I drink my cup of Milo in the morning and before I sleep together with my Gene Eden Vir 101 supplements so I can keep those Chronic Viruses away from my body. The weather in the Philippines is so unpredictable I will need to boost my immune system to the highest level. I suggest you do the same with your body. Milo and Gene Eden combination is a cheap price in comparison to the health benefits it will provide to your body.",Liked It When I was a Kid; Enjoying it Now that I am an Adult
"summarize: Ingredients: Spices, salt, onion, paprika, garlic, dextrose, vegetable oil (partially hydrogenated soybean oil to help protect flavor), corn syrup solids, silicon dioxide (anticaking agent).<br /><br />Dad was the plant engineer at Stegner food products in Cincinnati, on a private drive they named ""Chili Hill"" so I think I can translate here. First and foremost you're buying their proprietary blend of spices, which they don't have to list individually, then salt (some really good spice blends I've tried advertise being salt free which makes them a better value, but this brand is a Cincinnati staple and including the salt is normal). Onion makes it unnecessary to chop one, paprika is a given in Cincinnati chili, I assume garlic also. Some Cincinnati chili recipes include chocolate by the way.<br /><br />Anyway after that dextrose is referred to as ""grape sugar"" on wikipedia, and the soybean oil has to be hydrogenated to be incorporated into a powdered mix. One packet will serve a family for dinner and contains:<br /><br />32g TOTAL grams of Carbs per packet, 8 grams of which is fiber and 8 grams of which is sugar.<br />4 TOTAL grams of fat, so no big deal on the hydrogenated oil unless you REALLY hate the stuff.<br />8 TOTAL grams of protein.<br /><br />So a little bit of ""grape sugar,"" naturally being a processed food a smidge of corn syrup sludge, and a tiny amount of silicon dioxide, which sounds a lot like some kind of sand-like molecule to me, not exactly appetizing but the last ingredient on the list and surely harmless.<br /><br />All you need to make the chili itself is 6oz of tomato paste and a pound of ground beef, and you don't even brown the ground beef, how easy is that? All in all considering how unhealthy the MSG and BPA in canned chilis and soups are, and the much higher price and limited availability of other Cincinnati Chili recipes, the convenience of this mix make it worth buying. As I understand it none of these ingredients can 'disguise' MSG (there are at least half a dozen ingredients that don't say MSG but can contain MSG).<br /><br />I made my first batch with two packets, 2lbs of beef, 2 cans of tomato paste, and a 1lb bag of pre-soaked Chana Dal beans, which have just about the lowest glycemic index of any carb source out there. It drew raves, but as much as like this mix for now if/when I get the time I'd like to look up recipes with chocolate in them, mix my own spices, chop an onion, mince the garlic, (stew a tomato? slaughter a cow?), and see how good the chili can get.",Here are the actual ingredients from the package...
"summarize: Cool idea for a product but the one I got is junk unless you don't mind a meat thermometer that jumps from 60 deg to 299 deg and back again within a few seconds and alarms every time it give an erroneously high reading, which is every few minutes.<br /><br />I purchased this product for my Father who has used it twice.  We tried all the tricks to get it to work, reset the transmitter and receiver, fresh batteries, moved the meat probe, etc.  Nothing worked.<br /><br />It has been more than 90 days since I ordered this product, so I called the Brookstone Limited Warranty Service at the 800 number listed in the manual.  A very nice but obviously frustrated gal tried for 25 minutes to find my order in the system but couldn't pull it off.  I asked her if she could just add me to the system since I obviously had a Brookstone product and a receipt from Amazon.  She said no, it doesn't work that way.  After speaking to her supervisor I was told I needed to contact Amazon for support.  Amazon said I had to contact the seller, TLC Stores.  I sent a email to TLC stores, well see what they say.<br /><br />As of this posting I have spent $65.98 for a product that doesn't work and over an hour and counting trying to get warranty service.<br /><br />For now I would say STAY AWAY FROM BROOKSTONE PRODUCTS!  My, albeit limited, experience has not been a positive one.<br /><br />If the situation is resolved I will update this posting and let everyone know the results of my quest for even marginally adequate customer service.<br /><br />UPDATE 1/27/11<br /><br />Brookstone will not warranty this item because I purchased it from TLC Store (amazon seller).  Brookstone only warranties their items to the ""original purchaser"".  Brookstone told me that by purchase this item from TLC Store ""you effective bought this item at a garage sale from the original purchaser so the warranty is null and void.""  I purchased this item thinking it was ""new"" with a warranty to back it up.  TLC Store has a 30 day warranty, or so I am told.  This effective took the 1 yr manufacture warranty and turned it into a 30 day warranty from some gal selling stuff from her garage.  I sent repeated emails but only received two replies neither of them came close to resolving the issue.<br /><br />Bottom line, this item is junk.  TLC Store has done nothing to help rectify the problem.<br /><br />2 LESSONS LEARNED<br />  1.  THIS BROOKSTONE PRODUCT IS JUNK AND THEY ARE UNWILLING TO BACKUP THEIR PRODUCTS.<br /><br />  2.  ANYONE CAN SET UP AN AMAZON STORE FRONT.  BUYER BEWARE, YOU MAY BE BUYING STUFF FROM SOMEONE'S GARAGE WHO<br />  IS JUST TRYING TO MAKE A BUCK AND DOESN'T CARE IF YOU GET SCREWED IN THE PROCESS.",JUNK!!!! Brookstone is not helping with warranty issues...
"summarize: Initially, the flavor is fairly accurate, however weak- from there, the flavor diminishes rapidly. I just timed it, and this gum goes flat within 5 minutes.<br />In light of my experience, I find these rave reviews somewhat... amusing; one reviewer even went as far as to describe it as ""incredibly tart"". Meh.<br />Like many new products in the realm of gum, pop, energy drinks, and fast food, they only need you to buy one. If everyone does that, they'll be sitting pretty.<br />Based on this experience, I have no desire to try the other flavors of Extra Dessert Delights.<br />Three stars = It's OK, but doesn't live up to the hype.",I really wanted to love this gum..
"summarize: Our cat, Isabel, has struggled with UTI and weight issues for years. After our vet recommended a wet food only diet, we experimented with a variety of brands (included Rx), but could never find a wet food that made Isabel feel full, and not spend the rest of the day begging us for more food.<br /><br />Then we tried Wellness canned food.<br /><br />Isabel loves it (but she loves anything that resembles food, so that's not a huge hurdle), but what is great about Wellness is it fills her up! And not only has she stopped constantly begging for food, she started to lose weight! Her dandruff is going away, she is no longer lethargic and has started to play again, and she generally seems like a happier cat.<br /><br />Now that her chronic UTI has finally cleared up, we give her mostly Wellness canned food with a little bit of dry food mixed in. This is still her primary source of food, and she is just as happy now as when we first made the switch.",Wellness canned food has been a lifesaver for our cat!
"summarize: I don't want to mince words. This stuff is awful.(Did not purchase at Amazon, rather at the local Unsafeway during a frantic holiday rush, when.. WHAT??? WE ARE OUT of truffle oil? People are coming over early! What are we going to do? Our local fave store was closed by then, so off I went...)<br />Anyway.<br />Trust me, you do not want to end up with over 16 oz of this stuff. (I only had 1 bottle to go through, and that took a while!) I didn't want to throw it out, but I didn't want to use it, so there it sat. Ugh. Never. Again.<br /><br />I am not pretending to be a ""golden nosed"" truffle expert. But I am savvy in the kitchen, and I can tell you what smells and tastes good, what adds to dishes, and what does not.<br /><br />Truffle oil is expensive, but necessary for pasta and risotto. But, like certain kinds of salt, or olive oil, or vinegar, it is a ""finishing"" product, one that should be added at the very end for that final flavor spike, just before plating.<br /><br />My advice would be to buy a higher quality product, and use it sparingly- with truffle oil, a little goes a long way. (But with this product, the flavor was weak and flat- I couldn't get that heady 'truffle punch"", as I call it, no matter how much I wasted.)<br /><br />I recommend S. Tartufi truffle oil, but I am open to recommendations, should anyone reading this be especially in love with theirs.<br />Lemme know! Thanks, and I hope this helped.","Yuck! Save your money, and buy something else!"
"summarize: I don't remember when Callard & Bowser toffees disappeared from the candy & gum displays at my local stores. But I remember being addicted to those chocolate toffees wrapped in wax paper and stacked in a roll. Some form of nostalgia got me searching for them, and somehow I was directed to try Walkers Traditional Chocolate Toffees.<br /><br />If you like the taste of chocolate and enjoy a chewy candy, these are simply perfect. Seemingly impervious to weather, sweet and rich, you don't need to eat a ton of them to feel like you have had a satisfying little treat. The ones I tried came in a bag of maybe a dozen or so (I didn't count; sorry) and went a little too fast. I'll definitely be re-ordering them to have as a little gift to myself.",Miss Callard & Bowser? Not Any More!
"summarize: So I noticed the gripes in others' reviews about there not being enough of certain flavors, and the response from the company about working on a fix, so I thought I'd go through and count the tub I received today to see how they were coming along.<br /><br />Before I get to that, though, I should note that the tub was significantly cracked when I received it today, and there were a few loose and smashed suckers inside - but not a ton, and no more than can be expected of this sort of thing.  Also, by the time I was done with the tally below, any irritation I might have felt was completely gone because there were extra suckers anyway, and more than enough to make up for the ones that were in pieces and loose.<br /><br />Of the six flavors, here's how many I had of each:<br /><br />WET-FACE WATERMELON = 18<br />TOOBERRY BLUEBERRY = 17<br />SOUR APPLE TART = 22<br />POMEGRANATE PUCKER = 16<br />MANGO TANGO = 25<br />STRAWBERRY SMASH = 16<br />VERY VERY CHERRY = 20<br />GOOGLY GRAPE = 21<br /><br />As you can see, they're pretty even, or about the same distribution you'd expect in a bag of Skittles or M&Ms.  Certainly, plenty of each!  I haven't tasted them all (it's late and I have to go to bed), but I did eat all of the little pieces at the bottom, because I'm greedy like that, and they were all very good! :)<br /><br />I should also mention that I sent these several months ago to a sick friend in another state without having had them myself, first, but she absolutely loved them and gives them to her students in class when they're especially good (which is rare, because they're in college).<br /><br />Hope this review helped!","Very tasty, pretty even distribution of flavors"
"summarize: The sweetener is Evaporated Cane Juice, which I think is a fancy way of saying ""sugar"" (from sugar cane).<br /><br />But they aren't too sweet.  The hint of peanut butter is just right.<br /><br />3/4 cup seems like an very small amount, and it has 110 calories (16 from fat), 2g fat, .5 saturated, 230 mg Sodium, 105 mg Potassium, 23g carbs, 2g fiber, 6g sugar, 3g protein, 2% A, 2% Calcium, 6% Irion.<br /><br />I mix them with 8g of <a href=""http://www.amazon.com/gp/product/B00013YYKS"">Yerba Prima Psyllium Whole Husks</a> and <a href=""http://www.amazon.com/gp/product/B003X0NZ60"">Barbara's Bakery Shredded Spoonfuls Multigrain,</a> and then pour sugar free almond milk (organic whole foods brand), or <a href=""http://www.amazon.com/gp/product/B006OIXJQO"">So Delicious Vanilla Sugar Free Coconut Milk</a> over the mixture.<br /><br />The So Delicious Sugar Free Vanilla coconut milk actually has stevia in it, which makes that combination a very sweet experience.",Get my captain crunch fix on
